title,slug,description,dates,war_icon,weight,organization_count
American Revolution,,Veterans organizations honoring American Revolution service (1775-1783),1775-1783,/images/wars/icons_wars/AVSOPS-american-revolution-icon_512x512.png,1,19
War of 1812,,Veterans organizations honoring War of 1812 service (1812-1815),1812-1815,/images/wars/icons_wars/AVSOPS-war-of-1812-icon_512x512.png,2,3
Mexican–American War,,Veterans organizations honoring Mexican–American War service (1846-1848),1846-1848,/images/wars/icons_wars/AVSOPS-mexican-american-war-icon_512x512.png,3,2
American Civil War,,Veterans organizations honoring American Civil War service (1861-1865),1861-1865,/images/wars/icons_wars/AVSOPS-civil-war-icon_512x512.png,4,13
Spanish–American War,,Veterans organizations honoring Spanish–American War service (1898),1898,/images/wars/icons_wars/AVSOPS-spanish-american-war-icon_512x512.png,5,12
World War I,,Veterans organizations honoring World War I service (1914-1918),1914-1918,/images/wars/icons_wars/AVSOPS-world-war-1-icon_512x512.png,6,22
World War II,,Veterans organizations honoring World War II service (1939-1945),1939-1945,/images/wars/icons_wars/AVSOPS-world-war-2-icon_512x512.png,7,29
Korean War,,Veterans organizations honoring Korean War service (1950-1953),1950-1953,/images/wars/icons_wars/AVSOPS-korean-war-icon_512x512.png,8,5
Vietnam War,,Veterans organizations honoring Vietnam War service (1955-1975),1955-1975,/images/wars/icons_wars/AVSOPS-vietnam-war-icon_512x512.png,9,24
Gulf War,,Veterans organizations honoring Gulf War service (1990-1991),1990-1991,/images/wars/icons_wars/AVSOPS-gulf-war-icon_512x512.png,10,5
War on Terror,,Veterans organizations honoring War on Terror service (2001-Present),2001-Present,/images/wars/icons_wars/AVSOPS-war-on-terror-icon_512x512.png,11,75
